品牌,日期,升级点,积分,状态,周次,截图链接,提交时间
意开史蒂夫,2026-07-24,"上海展会现场直播",5,approved,第1周,/uploads/1784858048359-jl1y5c.png,2026-07-24 01:54:08
迈巴勒,2026-07-24,"场景升级展会现场背景，参加了官方优惠补贴活动",5,approved,第1周,/uploads/1784857949849-oq9s0z.jpg,2026-07-24 01:52:29
友望,2026-07-24,"场景升级 直播间画面布景进行升级，贴合鹅选美好生活月",5,rejected,第1周,/uploads/1784855640526-a3rqnc.png,2026-07-24 01:14:00
徕芬,2026-07-24,"达人直播
直播时间：7.24 早上7.30",5,approved,第1周,/uploads/1784855338945-8dytop.jpg,2026-07-24 01:08:58
贝曲宝,2026-07-23,"场景升级 直播间画面布景进行升级，贴合鹅选美好生活月",5,approved,第1周,/uploads/1784798901077-wszfjd.png,2026-07-23 09:28:21
张小泉创大,2026-07-23,"升级展会大场",5,approved,第1周,/uploads/1784797188583-mi54lt.png,2026-07-23 08:59:48
零点记忆,2026-07-23,"货升级 新品礼盒套装上新 额外赠送福利",5,approved,第1周,/uploads/1784794881115-r5yi0o.png,2026-07-23 08:21:21
欧洛德,2026-07-23,"我们用总裁亲临直播间的方式 让总裁和主播互动 增加了用户停留 转化率有了显著提升",5,approved,第1周,/uploads/1784783448689-6e1lmn.png,2026-07-23 05:10:48
意开史蒂夫,2026-07-23,"展会现场直播",5,approved,第1周,/uploads/1784780247314-rvzmli.png,2026-07-23 04:17:27
洒拖,2026-07-23,"用了活动贴片，以及展会的背景",5,approved,第1周,/uploads/1784778792429-lfw3yo.jpg,2026-07-23 03:53:12
聚量（康佳/苏泊尔/创维）,2026-07-23,"由原来的冰岛循环扇升级为负离子驱蚊循环扇，拥有负离子功能",5,approved,第1周,/uploads/1784776459375-01c2ej.png,2026-07-23 03:14:19
张小泉芭荷,2026-07-23,"场景升级到上海展会现场，拉高直播间氛围",5,approved,第1周,/uploads/1784776380673-0ff5vc.png,2026-07-23 03:13:00
迈巴勒,2026-07-23,"场景升级为展会现场直播",5,approved,第1周,/uploads/1784776166686-5r63pd.jpg,2026-07-23 03:09:26
百事水具,2026-07-23,"参加上海展会，场地全面升级",5,approved,第1周,/uploads/1784774205980-fnuka3.png,2026-07-23 02:36:46
三禾,2026-07-23,"升级上海展会场景  增加官方贴片物料",5,approved,第1周,/uploads/1784771307653-qj65x3.jpeg,2026-07-23 01:48:27
友望,2026-07-23,"品牌10周年店庆活动  洗地机耗材  限时限量会员权益  一折优惠 ",5,approved,第1周,/uploads/1784769671564-96pgd6.png,2026-07-23 01:21:11
太力,2026-07-23,"百货展场景",5,approved,第1周,/uploads/1784768791543-bombd2.jpg,2026-07-23 01:06:31
徕芬,2026-07-23,"爆品小风扇探索版上新",5,rejected,第1周,/uploads/1784767363944-xwueyl.png,2026-07-23 00:42:44
迈巴勒,2026-07-22,"场景升级为工厂溯源活动背景，参与了平台补贴活动，贴片二次更新，提升直播间氛围",5,approved,第1周,/uploads/1784732956201-liyzet.jpg,2026-07-22 15:09:16
友望,2026-07-22,"旗舰新品promax上新  吸力升级到26000  100度熨烫双烘干",5,approved,第1周,/uploads/1784710969352-muboi2.jpg,2026-07-22 09:02:49
坂田川,2026-07-22,"场景上进行优化，顶部使用节点贴片",5,rejected,第1周,/uploads/1784708592605-ru8cna.png,2026-07-22 08:23:12
贝曲宝,2026-07-22,"人升级 营销总监进直播间",5,approved,第1周,/uploads/1784704970464-hgx8rr.jpg,2026-07-22 07:22:50
聚量（康佳/苏泊尔/创维）,2026-07-22,"产品镜片迭代升级，增加负氧离子释放含量，",5,approved,第1周,/uploads/1784704701614-rj8fmy.jpg,2026-07-22 07:18:21
张小泉创大,2026-07-22,"结合官方给的相关贴片进行直播间优化，场观获得显著提升",5,rejected,第1周,/uploads/1784703124605-z8r4mu.png,2026-07-22 06:52:04
aeroband,2026-07-22,"上新了粉色商品，和声卡套装，让用户多了更多选择性",5,approved,第1周,/uploads/1784698796920-vnngb8.png,2026-07-22 05:39:56
零点记忆,2026-07-22,"货升级 新品礼盒上新，赠品加码",5,approved,第1周,/uploads/1784698765578-fg4q2n.jpg,2026-07-22 05:39:25
宝家洁,2026-07-22,"场景升级为展会场景",5,approved,第1周,/uploads/1784698357455-mawc65.png,2026-07-22 05:32:37
徕芬,2026-07-22,"爆品礼盒装吹风机上新",5,approved,第1周,/uploads/1784692663988-5b70it.jpeg,2026-07-22 03:57:44
张小泉芭荷,2026-07-22,"场景升级为商超场景，更新了官方贴片，提高了直播间氛围",5,approved,第1周,/uploads/1784689801076-qqrjcq.png,2026-07-22 03:10:01
迈巴勒,2026-07-21,"场景升级为工厂背景，更新了官方贴片物料，提高直播间氛围",5,approved,第1周,/uploads/1784645122667-tder4j.png,2026-07-21 14:45:22
三禾,2026-07-21,"更新官方贴片物料，提高直播间氛围，比未添加物料之前提升30%场观",5,rejected,第1周,/uploads/1784630621676-l8fdzw.png,2026-07-21 10:43:41
零点记忆,2026-07-21,"人升级 营销总监进直播间
货升级 新品礼盒上新",5,approved,第1周,/uploads/1784626836446-pdz3s6.jpg,2026-07-21 09:40:36
百事水具,2026-07-21,"新品上新",5,approved,第1周,/uploads/1784620772919-9ehgw0.jpeg,2026-07-21 07:59:32
张小泉芭荷,2026-07-21,"总裁进直播间",5,approved,第1周,/uploads/1784617316951-qe4hhe.jpeg,2026-07-21 07:01:56
索邦,2026-07-21,"增加美好生活贴纸",5,rejected,第1周,/uploads/1784616775229-nc6fdj.jpg,2026-07-21 06:52:55
坂田川,2026-07-21,"场景升级切换为直播大场模式",5,approved,第1周,/uploads/1784615964157-o6kuz4.png,2026-07-21 06:39:24
聚量（康佳/苏泊尔/创维）,2026-07-22,"新增贴片，使用官方指定物料，普通老花镜升级为防蓝光防紫外线老花镜，镜片升级为tr90材质，整体进行人货场的升级",5,approved,第1周,/uploads/1784615404214-epa3f1.jpg,2026-07-21 06:30:04
宝家洁,2026-07-21,"增加了美好生活节官方贴片，升级场景优化直播间画面",5,rejected,第1周,/uploads/1784615263386-yfrpgh.jpg,2026-07-21 06:27:43
聚量（康佳/苏泊尔/创维）,2026-07-21,"新增直播贴片，使用官方指定物料，同时升级了产品功能，由普通的挂烫机升级为新款吸烫机，进行了直播间人货场的升级",5,approved,第1周,/uploads/1784614498200-hbni5e.jpg,2026-07-21 06:14:58
聚量（康佳/苏泊尔/创维）,2026-07-20,"货场升级，更新官方贴片物料，提高直播间氛围，比未添加物料之前提升30%场观",5,approved,第1周,/uploads/1784614201388-1fgwbz.png,2026-07-21 06:10:01
极萌,2026-07-22,"场域升级：迎合夏季痛点，主推冰灌水光概念，视觉降温
货品升级：400元购物金可兑换价值699美妆小冰箱，配合冰灌水光专场",5,approved,第1周,/uploads/1784612940054-jv4frz.png,2026-07-21 05:49:00
张小泉创大,2026-07-21,"采用官方贴片，优化直播间画面",5,approved,第1周,/uploads/1784606087630-m1ree6.png,2026-07-21 03:54:47
aeroband,2026-07-21,"比上一场单人直播，加入一个体验馆双人直播",5,approved,第1周,/uploads/1784597863926-4pxp7v.png,2026-07-21 01:37:43
徕芬,2026-07-21,"爆品探索版小风扇上新",5,rejected,第1周,/uploads/1784592380326-7d9h3w.jpeg,2026-07-21 00:06:20
凌丰,2026-07-20,"增加了直播画面贴片",5,rejected,第1周,/uploads/1784558997993-8o23tn.jpeg,2026-07-20 14:49:58
aeroband,2026-07-20,"今天和koc达人姜老师合作带货",5,approved,第1周,/uploads/1784554586818-ir48bh.png,2026-07-20 13:36:26
徕芬,2026-07-20,"爆品探索版小风扇上新",5,approved,第1周,/uploads/1784535957090-a515si.png,2026-07-20 08:25:57
欧洛德,2026-07-20,"我们的小方锅之前是没有蒸笼的 因为客服收到了很多用户需要蒸笼的诉求 我们工厂开模升级了带蒸笼的套餐",5,approved,第1周,/uploads/1784534423359-seqdos.jpg,2026-07-20 08:00:23
